"","id","country","name","lon","lat","temp","feels_like","temp_min","temp_max","pressure","humidity","speed","all","visibility"
"37",939702,"ZA","Williston",20.92,-31.34,23.39,17.72,23.39,23.39,1013,28,6.17,0,24000
"40",961935,"ZA","Rietfontein",29.2,-25.5,22.79,22.37,22.79,22.79,1014,41,0.23,64,19000
"42",972803,"ZA","Mtubatuba",32.18,-28.42,23.09,26.87,23.09,23.09,1013,94,1.37,0,19000
"43",973709,"ZA","Mossel Bay",22.15,-34.18,19,20.32,19,19,1017,88,1.5,90,10000
"44",975511,"ZA","Mkuze",32.04,-27.62,21.59,24.85,21.59,21.59,1013,95,1.14,8,16000
"45",976764,"ZA","Meyerton",28.02,-26.56,18.78,17.57,17.22,22,1022,59,2.03,25,18000
"46",980595,"ZA","Mafikeng",25.64,-25.87,21,20.31,21,21,1019,49,1,56,10000
"47",984998,"ZA","Ladysmith",29.78,-28.55,20.89,21.31,20.89,20.89,1016,69,1.7,55,13000
"48",988429,"ZA","Koffiefontein",25,-29.41,22.89,19.61,22.89,22.89,1012,25,2.25,0,16000
"49",996195,"ZA","Hoedspruit",30.95,-24.35,22.89,24.18,22.89,22.89,1013,76,2.41,59,21000
"50",996409,"ZA","Himeville",29.51,-29.75,13.79,14.06,13.79,13.79,1017,92,0.72,44,2000
"51",1002108,"ZA","Germiston",28.18,-26.23,19.76,18.84,17.22,22,1022,59,1.99,7,16000
"52",1004962,"ZA","Estcourt",29.87,-29.01,17.49,16.69,17.49,17.49,1016,77,2.67,51,13000
"55",1222396,"MY","Kuah",99.84,6.33,28.2,33.94,26.67,29,1010,83,1,20,10000
"56",1732740,"MY","Kampung Seelong",103.7,1.63,27.14,31.48,25.56,29,1010,83,2.1,75,10000
"57",1732811,"MY","Kluang",103.33,2.03,25.89,31.38,25.56,26,1010,94,1.2,20,10000
"58",1733449,"MY","Kinarut",116.05,5.82,25.19,29.42,25,25.56,1011,88,1.5,20,10000
"59",1734815,"MY","Port Dickson",101.8,2.52,27.58,31.22,26.67,28,1009,78,2.6,20,10000
"61",1735148,"MY","Serendah",101.6,3.36,27.93,31.77,27.78,28,1009,78,2.6,20,10000
"62",1735227,"MY","Kuantan",103.33,3.81,25.85,30.8,25.56,26,1010,88,1,20,10000
"63",1735268,"MY","Batu Gajah",101.04,4.47,26.9,32.11,26.67,27,1010,88,1.5,20,8000
"66",1737714,"MY","Limbang",115,4.75,25.85,31.15,25.56,26,1011,88,0.5,75,10000
"67",1741562,"MY","Tanjung Sepat",101.56,2.66,27.93,31.77,27.78,28,1009,78,2.6,20,10000
"68",1751525,"MY","Pekan Darat",100.4,5.47,28.48,34.23,27.78,29,1009,79,0.5,20,9000
"69",1762251,"MY","Kampong Wakuba",118.12,4.3,23.97,28.13,23.89,24,1011,94,1.5,20,10000
"70",1770876,"MY","Kampung Batu Lapan Tiga Suku",103.22,3.77,25.84,30.78,25.56,26,1010,88,1,20,10000
"72",1848382,"JP","Youkaichi",136.2,35.12,4.95,-4.4,1.11,8,1006,65,10.3,40,10000
"74",1850144,"JP","Tokyo-to",139.69,35.69,3.31,-0.13,1,5.56,1005,93,2.6,75,10000
"77",1852699,"JP","Senzaki",131.2,34.38,6.09,0.13,1,9,1011,52,5.1,75,10000
"79",1857451,"JP","Matsuzaki",138.78,34.75,3.95,1.57,2.78,5,1005,100,1.5,75,10000
"80",1857578,"JP","Matoba",133.95,34.25,4.31,-0.5,1.67,6,1009,75,4.1,75,10000
"81",1859472,"JP","Kimiidera",135.2,34.18,5.78,-1.84,5,7,1008,70,8.2,90,10000
"82",1861060,"JP","Japan",139.75,35.69,3.31,-0.13,1,5.56,1005,93,2.6,75,10000
"83",1861387,"JP","Ishikawa-ken",136.77,36.77,1.74,-1.61,0.56,2.78,1009,93,2.1,40,10000
"85",1862845,"JP","Higashi-asahimachi",133.07,35.47,2,-2.01,2,2,1010,93,3.1,40,10000
"87",1864427,"JP","Daisen",133.53,35.38,2,-2.01,2,2,1010,93,3.1,40,10000
"89",2045761,"RU","De-Friz",131.99,43.28,-3,-6.78,-3,-3,1004,100,2,100,10000
"91",2058430,"AU","Whyalla",137.58,-33.03,16,12.02,16,16,1020,67,5.7,21,10000
"93",2063213,"AU","Plantagenet Shire",117.6,-34.63,18,17.8,18,18,1008,93,3.6,75,7000
"94",2065337,"AU","Mundaring",116.17,-31.9,20.45,22.19,20,21.11,1007,100,3.1,75,10000
"95",2065724,"AU","Mortigallup",117.52,-34.47,18,17.8,18,18,1008,93,3.6,75,7000
"96",2110681,"JP","Tsukuba-kenkyugakuen-toshi",140.12,36.08,2.8,0.91,0,5.56,1005,100,0.5,77,10000
"97",2128894,"JP","Noboribetsu",141.17,42.45,-3.73,-8.93,-4.44,-3,1007,86,3.6,20,10000
"98",2130037,"JP","Hokkaido",141.35,43.06,-3.79,-9,-4.44,-3,1007,86,3.6,20,10000
"99",2130135,"JP","Hashimoto",140.75,40.82,-0.4,-4.67,-1.11,0,1005,79,2.6,75,10000
"100",2147795,"AU","Sutton Forest",150.32,-34.58,11.72,6.78,10.56,12.22,1020,58,5.1,39,10000
"101",2151649,"AU","Richmond",145,-37.82,11.93,9.14,8.89,15,1023,81,3.6,75,10000
"102",2154855,"AU","North Sydney",151.21,-33.84,14.14,7.37,11.67,16.67,1019,77,9.8,20,10000
"103",2166584,"AU","Fitzroy",144.98,-37.78,11.85,9.04,8.89,15,1023,81,3.6,75,10000
"104",2171000,"AU","Collingwood",144.98,-37.8,11.86,9.05,8.89,15,1023,81,3.6,75,10000
"106",2176264,"AU","Belmont",153.12,-27.5,18.71,17.31,16.67,20,1009,77,4.1,0,10000
"107",2177022,"AU","Bamarong",150.53,-34.9,12.31,7.47,10.56,15,1020,58,5.1,0,10000
"108",2207349,"AU","Bellara",153.15,-27.06,18.67,17.26,16.67,20,1009,77,4.1,27,10000
"109",2476412,"DZ","el hed",4.77,36.65,15,13.85,15,15,1020,77,2.1,75,10000
"110",2479183,"DZ","Souma",2.91,36.52,15,13.02,15,15,1019,87,4.1,20,10000
"111",2482939,"DZ","Rouached",6.04,36.46,13.34,11.26,12,15,1020,81,3.1,20,10000
"112",2483757,"DZ","Reghaia",3.34,36.74,15,13.02,15,15,1019,87,4.1,20,10000
"114",2485801,"DZ","Ouargla",5.33,31.95,26,21.33,26,26,1014,16,3.49,32,10000
"115",2487452,"DZ","Mila",6.26,36.45,13.2,11.08,12,15,1020,81,3.1,20,10000
"116",2487620,"DZ","Metlili Chaamba",3.63,32.27,26,22.28,26,26,1016,19,2.6,70,10000
"117",2491195,"DZ","L’Agha",3.05,36.77,15,13.02,15,15,1019,87,4.1,20,10000
"119",2492345,"DZ","Kerkera",6.59,36.93,15,14.02,15,15,1019,77,1.87,20,10000
"120",2493330,"DZ","I-n-Amenas",9.54,28.04,25,20.33,25,25,1017,11,2.6,0,3000
"121",2496045,"DZ","Wilaya de Ghardaïa",3.17,31.08,23,21,23,23,1017,33,1.5,73,10000
"122",2496049,"DZ","Ghardaïa",3.67,32.49,25.16,21.34,24,26,1016,19,2.6,70,10000
"123",2498752,"DZ","El Affroun",2.63,36.47,15,13.02,15,15,1019,87,4.1,20,10000
"125",2507480,"DZ","Algiers",3.04,36.75,15,13.02,15,15,1019,87,4.1,20,10000
"128",2508813,"DZ","Adrar",-0.29,27.87,30,23.69,30,30,1012,9,5.1,0,7000
"129",3007202,"FR","La Portanière",6.17,43.25,13.07,8.89,10,15,1015,33,2.6,0,10000
"131",3363094,"ZA","Paarl",18.98,-33.73,19.65,16.41,17.22,21.11,1018,77,7.2,40,10000
"132",3385122,"BR","Viana",-45,-3.22,31.89,34.65,31.89,31.89,1008,56,2.77,64,16000
"134",3387266,"BR","Solanea",-35.54,-6.75,28,28.51,28,28,1013,65,5.1,75,10000
"136",3448433,"BR","Estado de São Paulo",-49,-22,33.63,35.6,33.33,34,1016,41,1.5,1,10000
"139",3453535,"BR","Piraquara",-49.06,-25.44,30.58,29.52,29,32.22,1019,33,2.6,0,10000
"141",3455976,"BR","Ôlho d’Água",-48.6,-16.03,26.84,25.2,26.67,27,1018,51,5.1,75,10000
"142",3456005,"BR","Olaria",-49.17,-25.23,30.57,30.43,29,32.22,1019,37,2.1,0,10000
"143",3461936,"BR","Guará",-47.9,-15.83,27.8,25.73,26.67,29,1017,51,6.2,75,10000
"144",3462672,"BR","Gama",-48.08,-15.95,27.74,25.65,26.67,29,1017,51,6.2,75,10000
"145",3463504,"BR","Distrito Federal",-47.75,-15.75,27.79,25.71,26.67,29,1017,51,6.2,75,10000
"148",3471324,"BR","Atuba",-49.23,-25.43,30.57,30.43,29,32.22,1019,37,2.1,0,10000
"149",3472492,"BR","Altamira",-43.57,-19.55,28.95,28.78,28,30,1019,51,4.1,75,10000
"150",4047656,"US","Provo",-94.11,34.04,15.73,15.73,11,22.78,1021,93,2.1,90,2012
"151",4056099,"US","Coffee County",-86,31.42,26.83,27.71,25.56,28.33,1024,54,1.98,75,16093
"152",4070245,"US","Jones Crossroads",-85.48,31.21,26.81,25.74,25.56,28.33,1025,47,3.6,1,16093
"153",4151245,"US","Clay County",-81.83,30,29.27,29.75,26,32.22,1024,42,1.63,40,16093
"154",4155535,"US","Flagler County",-81.29,29.46,27.43,25.25,25,30,1024,39,4.1,1,16093
"155",4158449,"US","Hernando County",-82.46,28.54,28.91,26.98,26,31,1023,35,3.6,40,16093
"156",4174301,"US","Sumter County",-82.08,28.71,29.78,29.4,28.33,31.11,1024,42,3.1,1,16093
"157",4191014,"US","DeKalb County",-84.23,33.75,22.02,19.77,15,28,1024,49,3.6,75,16093
"158",4196508,"US","Fulton County",-84.45,33.77,22.33,21.56,15,28,1024,53,2.1,20,16093
"159",4215307,"US","Pennick",-81.56,31.31,27.63,25.85,22.78,32,1024,51,5.7,40,16093
"160",4255818,"US","Clark County",-85.76,38.48,3.78,0.58,3,4.44,1027,86,2.1,90,16093
"161",4287837,"US","Clark County",-84.27,37.98,3.8,-1.15,2.78,5,1028,86,4.6,90,8047
"162",4310411,"US","Sylvania",-85.87,38.16,3.89,-2.1,3,5,1026,75,5.7,90,6437
"163",4344544,"US","Vernon Parish",-93.18,31.12,25.66,26.62,25,26.11,1022,69,3.6,75,16093
"165",4673179,"US","Bee House",-98.08,31.4,25.57,25.79,23.33,27.22,1020,69,4.6,75,16093
"166",5285039,"US","Black Bear Spring",-110.29,31.39,16.13,11.36,13.89,18,1021,29,3.6,1,16093
"167",5391891,"US","San Dimas",-117.81,34.11,14.13,12.64,1.67,18,1020,67,1.5,90,16093
"168",5493998,"US","Tejon",-105.29,34.59,9.7,2.6,8,11.67,1023,49,7.2,1,16093
"169",5815135,"US","Washington",-120.5,47.5,-2.29,-9.43,-5,-1.11,1017,50,5.7,90,16093
"170",6316808,"BR","Cardeal Mota",-43.62,-19.33,28.64,28.35,28,29,1019,51,4.1,75,10000
"171",6322112,"BR","Arujá",-46.32,-23.38,29.82,30.63,28,31,1018,48,2.6,26,10000
"172",6425695,"FR","Vallauris",7.05,43.58,11.49,10.68,7.78,13,1017,87,1,0,10000
"173",6427088,"FR","Salon-de-Provence",5.1,43.63,12.84,5.76,11.11,15,1017,33,6.7,0,10000
"174",6438498,"FR","Sin-le-Noble",3.12,50.37,8.49,5.02,7.78,9,1017,93,4.1,98,10000
"175",6438526,"FR","Tourcoing",3.15,50.72,8.4,4.91,7.78,9,1017,93,4.1,98,10000
"176",6438569,"FR","Wattrelos",3.22,50.7,8.43,4.95,7.78,9,1017,93,4.1,98,10000
"177",6441676,"FR","Wittenheim",7.33,47.82,6.54,3.92,2.78,8,1022,65,1,44,10000
"178",6441760,"FR","Saint-Fons",4.87,45.7,8.28,4.37,6.67,10,1021,53,2.6,3,10000
"179",6446218,"FR","Verrières-le-Buisson",2.27,48.75,10.07,7.79,9.44,11.11,1018,87,2.6,98,10000
"180",6446231,"FR","Viry-Châtillon",2.38,48.67,10.03,7.14,8.89,11.11,1019,81,3.1,75,10000
"181",6446340,"FR","Soisy-sous-Montmorency",2.3,48.98,10.05,7.87,8.89,11.11,1019,81,2.1,96,10000
"182",6446342,"FR","Taverny",2.22,49.03,10.08,7.35,9.44,11.11,1018,76,2.6,88,10000
"183",6451981,"FR","Sèvres",2.2,48.82,10.03,7.74,8.89,11.11,1018,87,2.6,88,10000
"184",6452039,"FR","Villeneuve-le-Roi",2.42,48.73,10.03,7.14,8.89,11.11,1019,81,3.1,75,10000
"185",6453748,"FR","Vierzon",2.08,47.22,10.33,7.51,10,11,1020,81,3.1,75,10000
"186",6454050,"FR","Vitré",-1.2,48.13,10.86,7.25,10.56,11,1018,76,4.1,90,10000
"187",6454369,"FR","Saint-Avold",6.7,49.1,7.4,4.96,6,8.33,1021,77,1.5,20,10000
"188",6455342,"FR","Saint-Ouen",2.33,48.9,9.99,7.79,9.44,11,1019,81,2.1,96,10000
"189",6457368,"FR","Arrondissement d'Antony",2.3,48.76,10.03,7.14,8.89,11.11,1019,81,3.1,75,10000
"190",6807148,"MY","Kampung Alor Perang",100.39,6.19,26.89,32.44,26.67,27,1010,88,1,20,10000
"191",6943577,"AU","Fortitude Valley",153.03,-27.46,18.75,17.36,16.67,20,1009,77,4.1,0,10000
"192",7302683,"AU","Southbank",144.96,-37.82,11.89,9.09,8.89,15,1023,81,3.6,75,10000
"193",7612483,"MY","Kampung Pasir Penjih",101.09,4.57,26.91,32.13,26.67,27,1010,88,1.5,20,8000
"194",7697719,"MY","Ladang Lothian",101.72,2.74,27.93,31.77,27.78,28,1009,78,2.6,20,10000
"195",7839407,"AU","Palmerston",130.98,-12.5,27.67,31.14,23.89,29,1007,79,3.1,61,10000
"196",7839424,"AU","Grant",140.63,-37.84,12,9.57,12,12,1025,81,3.1,90,10000
"198",7839789,"AU","Wingecarribee",150.35,-34.49,11.77,6.84,10.56,12.22,1020,58,5.1,39,10000
